UF,Populacao,% população
SP,45 094 866,"21,70%"
MG,21 119 536,"10,20%"
RJ,16 718 956,"8,10%"
BA,15 344 447,"7,40%"
RS,11 322 895,"5,50%"
PR,11 320 892,"5,50%"
PE,9 473 266,"4,60%"
CE,9 020 460,"4,40%"
PA,8 366 628,"4,00%"
SC,7 001 161,"3,40%"
MA,7 000 229,"3,40%"
GO,6 778 772,"3,20%"
AM,4 063 614,"1,90%"
PB,4 025 558,"1,90%"
ES,4 016 356,"1,90%"
RN,3 507 003,"1,70%"
AL,3 375 823,"1,60%"
MT,3 344 544,"1,60%"
PI,3 219 257,"1,60%"
DF,3 039 444,"1,40%"
MS,2 713 147,"1,30%"
SE,2 288 116,"1,10%"
RO,1 805 788,"0,90%"
TO,1 550 194,"0,70%"
AC,829 619,"0,40%"
AP,797 722,"0,40%"
RR,522 636,"0,20%"
